1,C,36,51
2,C,36,40
4,C,36,49
5,C,36,34
6,C,36,52
7,C,36,40
8,C,36,49
9,C,36,40
10,C,36,52
11,C,36,48
12,F,90,85
12L,C,36,50
12R,D,52,75
15,C,36,52
16,C,31,45
17,C,31,45
18,C,31,40
21,C,36,40
22,E,65,70
23,E,60,76
24,C,36,65
25,C,36,65
26,D,52,73
27,E,65,76
28,C,36,47
29,E,60,66
31,E,65,70
32,E,65,70
41,C,36,52
42,D,52,60
43,D,42,52
44,E,65,62
44L,C,36,48
44R,C,36,42
47,C,36,38
48,C,36,50
49,D,52,60
50,C,31,40
51,C,36,40
52,C,36,46
53,C,36,52
54,D,42,56
55,E,60,64
55L,C,36,49
55R,C,36,49
57,C,36,49
58,C,36,49
61,F,120,78
61L,E,65,78
61R,D,52,68
62,F,80,79
62L,D,42,51
62R,D,42,51
63,E,65,74
63L,C,36,74
63R,C,36,74
64,E,65,75
64L,C,36,59
64R,C,36,66
65,D,46,59
66,E,65,66
66L,C,36,56
66R,C,36,56
67,E,65,66
67L,C,36,56
67R,C,36,56
68,E,65,56
68L,C,36,56
68R,C,36,62
69,E,65,65
69L,C,36,62
69R,C,36,62
70,E,65,65
70L,C,36,62
70R,C,36,62
71,E,65,65
71L,C,36,62
71R,D,42,58
72,E,65,67
72L,C,36,64
72R,D,42,58
80,E,65,77
80L,D,42,56
80R,D,42,56
81,E,65,67
81L,C,31,56
81R,C,36,56
82,E,65,80
82L,C,36,56
82R,C,36,56
83,E,65,67
83L,C,36,56
83R,C,36,56
84,E,65,67
84L,C,36,56
84R,C,36,56
101,C,36,49
103,C,36,49
104,E,62,70
105,C,36,49
106,E,65,78
106R,D,42,70
107,C,36,49
108,C,36,51
109,C,36,49
110,E,65,81
110L,D,42,59
111,C,36,49
112,E,65,81
112R,D,42,71
113,F,80,79
113L,C,36,53
113R,C,36,49
114,C,36,66
116L,D,42,69
116,E,65,82
201,C,36,51
202,E,65,68
202L,D,42,62
203,D,42,71
204,E,65,80
204L,D,42,63
206,E,65,78
206L,D,46,61
207,C,36,56
208,E,65,70
208L,D,42,55
209,C,36,57
210,E,65,70
210L,D,42,55
211,C,36,53
231,E,65,58
231L,D,42,44
231R,D,42,39
233,D,52,55
235,D,42,60
237,D,52,55
239,D,52,55
241,D,46,58
243,C,36,56
807R,D,46,61
809,E,65,76
809L,D,42,66
811,C,36,63
901,C,36,51
903,C,36,51
905,C,36,51
907,C,36,51
909,C,36,51
911,C,36,51
913,C,36,51
915,C,36,50
917,C,36,50
919,C,36,50
925,C,36,50
927,C,36,50
929,C,36,50
